size,red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow, 1_g_r, 1_rg_r, 1_gb_r, 1_rgb_r, 1_r_rg, 1_g_rg, 1_gb_rb, 1_rgb_rb, 1_r_rgb, 1_gb_rgb
9949,166,111.46,55.49,15.21,167.89,166.01,-0.95,221.97,112,-236,316,0.671445783,1.671445783,1.005722892,2.005722892,0.598284437,0.401715563,0.753758635,1.503228137,0.498573359,0.501426641
10297,139.2,75.44,48.73,10.16,167.38,139.2,15.03,165.91,111,-247,319,0.541954023,1.541954023,0.892025862,1.892025862,0.648527767,0.351472233,0.660724738,1.401426063,0.528534002,0.471465998
9956,154.99,116.63,54.49,17.11,163.99,155.03,-16.13,217.13,84,-242,369,0.752500161,1.752500161,1.10407123,2.10407123,0.570613357,0.429386643,0.816879893,1.556759595,0.475269081,0.524730919
10133,133.44,66.19,42.79,9.55,173.16,133.44,24.46,156.84,119,-248,294,0.496028177,1.496028177,0.816696643,1.816696643,0.668436608,0.331563392,0.618396414,1.375588719,0.550449633,0.449550367
10057,140.33,65.74,37.77,8.36,185.21,140.33,36.82,168.3,125,-244,303,0.468467184,1.468467184,0.737618471,1.737618471,0.680982191,0.319017809,0.581190343,1.369118473,0.575500328,0.424499672
10287,146.12,75.23,42.86,9.29,179.26,146.12,28.03,178.49,123,-245,311,0.514850808,1.514850808,0.808171366,1.808171366,0.660131014,0.339868986,0.62488094,1.398084453,0.553044926,0.446955074
10193,140.77,68.53,44.73,9.62,173.87,140.78,27.51,164.57,134,-250,302,0.486822476,1.486822476,0.804574838,1.804574838,0.672575251,0.327424749,0.610566038,1.369433962,0.554147148,0.445852852
9958,145.99,73.73,39.98,9.5,183.02,145.99,32.28,179.74,129,-244,319,0.505034591,1.505034591,0.778888965,1.778888965,0.664436556,0.335563444,0.611442706,1.396461795,0.562148633,0.437851367
10155,145.69,69.13,38.73,8.96,184.02,145.69,37.83,176.09,120,-242,313,0.474500652,1.474500652,0.740339076,1.740339076,0.678195699,0.321804301,0.584860644,1.374850884,0.57460067,0.42539933
10374,149.39,72,37.47,9.51,188.64,149.39,39.92,183.92,117,-244,290,0.481959971,1.481959971,0.732779972,1.732779972,0.674782059,0.325217941,0.585839666,1.385315209,0.577107317,0.422892683
