red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow,Sweetness
180.75,138.39,67.86,18.62,167.24,182.75,-25.5,251.28,121,-245,362,14.3
178.32,70.37,44.31,28.02,195.19,178.34,63.64,204.38,148,-110,328,14.3
175.53,147.53,53.87,25.87,178.79,176.95,-25.87,269.19,140,-244,418,14.7
182.14,120.11,75.28,27.26,154.48,182.23,-13.25,226.97,161,-224,372,14.7
162.98,51.14,50.15,105.08,192.14,162.98,61.69,163.97,160,-246,357,14.7
179.5,149.5,60.56,24.1,172.37,180.53,-30.56,268.44,132,-232,405,14.7
184.48,168.08,70.32,24.02,157.7,185.06,-53.92,282.24,54,-215,407,14.7
163.25,86.14,52.34,72.73,179.56,163.25,24.77,197.05,149,-153,399,14.7
173.33,153.19,70.28,23.6,157.45,174.42,-50.14,256.24,109,-203,378,12.9
171.41,146.1,77.91,26.43,148.79,173.21,-52.6,239.6,106,-216,356,12.9
154.76,61.32,43.79,30.7,187.94,154.76,49.65,172.29,140,-235,311,12.9
188.74,167.72,91.91,24.97,137.65,193.2,-70.89,264.55,121,-198,353,12.9
189.02,182.36,92.9,27.08,134.25,190.25,-86.24,278.48,48,-175,368,12.9
162.19,103.26,61.02,37.94,166.38,162.19,-2.09,204.43,125,-190,357,12.9
172.26,132.94,57.21,18.3,174.52,172.26,-17.89,247.99,92,-224,395,11.5
123,39.49,50.31,143.84,181.97,123,33.2,112.18,138,-240,355,11.5
140.43,49.78,43.28,87.8,189.83,140.43,47.37,146.93,133,-240,302,11.5
142.35,56.58,43.14,91.61,192.32,142.35,42.63,155.79,117,-229,364,11.5
149.67,45.11,43.22,88.24,194.84,149.67,61.34,151.56,162,-202,291,11.5
141.48,42.4,38.51,88.59,196.65,141.48,60.57,145.37,145,-225,309,11.5
197.82,156.26,61.77,21.09,177.83,197.82,-20.21,292.31,113,-210,394,11.95
127.73,41.56,54.19,143.56,177.5,127.73,31.98,115.1,130,-252,361,11.95
146.24,51.34,55.08,118.19,181.77,146.24,39.82,142.5,152,-196,326,11.95
184.93,118.01,49.24,26.87,189.51,184.93,17.68,253.7,149,-112,413,11.95
189.11,77.48,54.92,55.3,185.08,189.11,56.71,211.67,163,-181,389,11.95
151.76,58.76,48.06,98.3,188.52,151.76,44.94,162.46,166,-216,362,11.95
176.17,113.37,54.85,15.53,181,176.17,7.95,234.69,152,-239,390,14.4
165.18,89.76,66.01,39.46,162.48,165.23,9.41,188.93,167,-245,372,14.4
141.97,33.05,41.76,141.5,198.49,141.97,67.16,133.26,154,-246,275,14.4
181.03,106.03,62.8,17.78,171.3,181.03,12.2,224.26,155,-197,363,14.4
181.06,78.27,49.45,23.47,185.53,181.06,53.34,209.88,153,-160,336,14.4
152.9,39.88,43.56,110.28,197.14,152.9,69.46,149.22,170,-249,291,14.4
135.5,48.49,43.99,104.64,190.71,135.5,43.02,140,148,-250,339,13.95
171.05,104.77,57.83,14.39,175.73,171.25,8.45,217.99,142,-246,361,13.95
143.07,31.24,30.29,63.85,206.44,143.07,81.54,144.02,156,-169,272,13.95
166.02,61.72,40.12,24.63,199.31,166.02,64.18,187.62,158,-208,333,13.95
167.73,68.1,40.76,34.79,196.37,167.73,58.87,195.07,153,-222,341,13.95
144.2,32.71,28.51,47.88,209,144.2,82.98,148.4,182,-251,279,13.95
183.9,133.91,62.76,22.91,173.59,183.9,-12.77,255.05,145,-238,390,14.3
182.94,154.65,68.83,21.76,163.93,183.71,-40.54,268.76,86,-247,387,14.3
185.11,106.67,51.36,16.83,186.87,185.11,27.08,240.42,133,-244,365,14.3
191.51,153.8,70.24,21.5,166.31,192,-32.53,275.07,128,-208,375,14.3
196.66,149.19,68.53,18.55,168.7,196.66,-21.06,277.32,98,-230,385,14.3
189.86,113.99,54.65,13.31,185.51,189.86,21.22,249.2,137,-215,353,14.3
150.16,65.26,51.24,47.78,178.36,150.16,33.66,164.18,149,-250,304,12.3
169.07,149.94,68.87,23,158.81,171.27,-49.74,250.14,88,-238,372,12.3
