red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow, 1_g_r, 1_rg_r, 1_gb_r, 1_rgb_r, 1_r_rg, 1_g_rg, 1_gb_rb, 1_rgb_rb, 1_r_rgb, 1_gb_rgb
125.04,30.98,43.65,158.93,192.04,125.04,50.41,112.37,118.0,-214.0,248.0,0.2477607165706973,1.2477607165706974,0.5968490083173383,1.5968490083173386,0.8014357133700808,0.1985642866299192,0.4424091528839883,1.1836504831347443,0.6262332849201182,0.3737667150798817
155.77,58.0,39.4,41.17,195.47,155.77,58.37,174.37,145.0,-245.0,328.0,0.3723438402773319,1.372343840277332,0.6252808628105541,1.625280862810554,0.7286803573934603,0.2713196426065397,0.499052108418302,1.2971768202080238,0.6152782715171624,0.3847217284828376
116.82,32.13,49.01,156.16,186.94,116.82,35.68,99.94,97.0,-246.0,262.0,0.2750385208012327,1.2750385208012327,0.69457284711522,1.69457284711522,0.7842900302114804,0.2157099697885196,0.4892962672616535,1.1937526382439847,0.590119216003233,0.4098807839967671
157.67,52.59,48.67,73.67,182.79,157.67,56.41,161.59,174.0,-237.0,304.0,0.3335447453542209,1.3335447453542209,0.6422274370520709,1.6422274370520709,0.7498810995909826,0.2501189004090174,0.4907434331685568,1.2548706019191629,0.6089290541845286,0.3910709458154713
158.57,60.16,41.09,23.72,191.14,158.57,57.32,177.64,144.0,-217.0,342.0,0.3793908053225704,1.3793908053225703,0.6385192659393328,1.6385192659393328,0.7249577104192383,0.2750422895807616,0.5071120905539417,1.301312230792347,0.6103071357093373,0.3896928642906628
132.9,49.25,45.13,57.49,177.24,132.9,38.52,137.02,128.0,-233.0,301.0,0.3705793829947328,1.3705793829947328,0.710158013544018,1.710158013544018,0.7296184463354378,0.2703815536645622,0.5301353704431837,1.2766387687468403,0.5847412882787751,0.4152587117212249
117.62,34.04,52.18,158.34,181.47,117.62,31.4,99.48,139.0,-203.0,253.0,0.2894065635096072,1.289406563509607,0.7330385988777418,1.733038598877742,0.7755505736515891,0.2244494263484109,0.507773851590106,1.2004711425206125,0.5770211930926217,0.4229788069073783
185.12,130.53,72.42,16.04,157.33,185.22,-17.83,243.23,116.0,-242.0,369.0,0.705110198789974,1.705110198789974,1.0963159031979255,2.096315903197925,0.5864723586250594,0.4135276413749406,0.7880329269239729,1.5068338898811833,0.4770273404282732,0.5229726595717268
167.54,77.31,47.52,32.93,185.72,167.54,42.71,197.33,165.0,-242.0,359.0,0.4614420436910589,1.461442043691059,0.7450758027933629,1.7450758027933628,0.6842556667347356,0.3157443332652644,0.5804426671626524,1.3594810750488235,0.5730410096795157,0.4269589903204843
160.22,62.56,53.26,80.78,178.54,160.22,44.4,169.52,147.0,-198.0,320.0,0.3904631132193234,1.3904631132193237,0.7228810385719635,1.7228810385719635,0.7191848460364485,0.2808151539635515,0.5425332583848604,1.293048529136219,0.5804231270830313,0.4195768729169685
115.3,34.83,47.33,147.7,181.96,115.3,33.14,102.8,141.0,-246.0,310.0,0.302081526452732,1.302081526452732,0.7125758889852558,1.7125758889852558,0.7680010657430227,0.2319989342569773,0.5051958433253397,1.2141671278361923,0.5839157297680543,0.4160842702319457
