,1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, height/area
88,171.3,179.54,81.27,-89.51,269.57,29.0,-211.0,360.0,6965,162.33,163.37,71.44,-72.48,254.26,57.0,-247.0,349.0,6864,0.9854989231873654
89,165.15,146.36,66.14,-47.35,245.37,86.0,-235.0,371.0,10742,168.97,117.57,65.26,-13.86,221.28,124.0,-247.0,363.0,9971,0.9282256563023644
90,164.78,83.38,55.36,26.04,192.8,150.0,-242.0,372.0,13482,174.49,107.71,55.95,10.83,226.25,126.0,-243.0,365.0,12758,0.9462987687286752
91,154.73,146.66,62.23,-54.16,239.16,40.0,-249.0,374.0,6481,141.83,89.18,54.13,-1.48,176.88,103.0,-250.0,321.0,6471,0.9984570282363832
92,180.76,159.96,77.04,-56.24,263.68,135.0,-246.0,369.0,9558,165.96,128.39,68.85,-31.28,225.5,133.0,-246.0,362.0,9360,0.9792843691148776
93,177.23,142.87,63.69,-29.33,256.41,106.0,-249.0,385.0,10875,164.53,101.37,62.08,1.08,203.82,168.0,-243.0,376.0,10578,0.9726896551724138
94,167.76,127.57,69.91,-29.72,225.42,110.0,-242.0,367.0,8699,145.28,81.69,48.58,15.01,178.39,157.0,-220.0,358.0,8513,0.9786182319806874
95,166.62,146.18,65.48,-45.04,247.32,86.0,-214.0,376.0,9437,150.24,80.74,52.16,17.34,178.82,148.0,-247.0,318.0,9154,0.9700116562466886
96,184.62,145.68,69.46,-30.52,260.84,95.0,-224.0,375.0,14192,172.87,120.42,63.94,-11.49,229.35,149.0,-250.0,356.0,13266,0.9347519729425028
97,170.59,117.14,51.49,1.96,236.24,150.0,-252.0,386.0,7742,141.17,57.77,38.92,44.48,160.02,159.0,-251.0,323.0,7811,1.0089124257297857
98,177.85,170.03,62.11,-54.29,285.77,86.0,-250.0,388.0,9169,165.98,152.65,67.11,-53.78,251.52,107.0,-248.0,370.0,9007,0.9823317700948848
99,184.51,102.58,61.79,20.14,225.3,113.0,-246.0,390.0,14863,172.17,74.09,70.02,28.06,176.24,115.0,-249.0,335.0,13998,0.9418017896790688
100,167.17,129.97,71.69,-34.49,225.45,105.0,-215.0,365.0,8361,139.25,64.92,60.88,13.45,143.29,125.0,-254.0,340.0,8321,0.9952158832675516
101,179.36,122.18,73.64,-16.46,227.9,110.0,-255.0,352.0,8515,178.16,108.57,69.16,0.43,217.57,132.0,-215.0,357.0,8424,0.9893129770992366
102,165.73,101.8,68.9,-4.97,198.63,116.0,-252.0,379.0,8938,170.75,120.75,84.76,-34.76,206.74,104.0,-248.0,345.0,8549,0.9564779592750056
103,171.08,103.45,71.82,-4.19,202.71,80.0,-255.0,356.0,9426,155.75,69.06,63.84,22.85,160.97,128.0,-258.0,322.0,9260,0.982389136431148
104,170.61,109.81,73.21,-12.41,207.21,119.0,-255.0,355.0,13004,178.32,157.15,82.34,-61.17,253.13,78.0,-251.0,368.0,12595,0.9685481390341434
105,170.01,122.09,65.08,-17.16,227.02,91.0,-198.0,387.0,9800,183.34,119.99,67.96,-4.61,235.37,118.0,-252.0,356.0,9733,0.9931632653061224
106,173.04,143.77,72.61,-43.34,244.2,86.0,-234.0,371.0,8246,170.47,115.97,68.13,-13.63,218.31,118.0,-251.0,353.0,8125,0.9853262187727384
107,189.94,170.5,91.49,-72.05,268.95,53.0,-241.0,368.0,10047,178.4,138.65,79.84,-40.09,237.21,95.0,-252.0,354.0,9836,0.9789987060814174
108,183.47,144.87,79.48,-40.88,248.86,86.0,-228.0,370.0,12401,157.61,61.55,62.21,33.85,156.95,136.0,-260.0,331.0,12122,0.9775018143698088
109,166.52,148.5,74.6,-56.58,240.42,67.0,-251.0,366.0,10305,159.17,109.59,75.15,-25.57,193.61,94.0,-252.0,359.0,9966,0.967103347889374
110,172.07,94.16,62.46,15.45,203.77,118.0,-241.0,354.0,7983,119.92,57.68,51.74,10.5,125.86,100.0,-239.0,310.0,7925,0.9927345609420016
111,157.44,85.28,60.76,11.4,181.96,126.0,-251.0,313.0,5720,161.9,138.95,65.6,-42.65,235.25,78.0,-250.0,386.0,5664,0.9902097902097902
112,171.28,91.31,74.02,5.95,188.57,116.0,-241.0,377.0,9786,167.15,89.48,70.69,6.98,185.94,116.0,-248.0,326.0,9517,0.9725117514817084
113,184.33,106.1,60.86,17.37,229.57,109.0,-251.0,348.0,11356,121.45,40.52,53.79,27.14,108.18,107.0,-226.0,295.0,10842,0.954737583656217
114,177.78,138.61,75.58,-36.41,240.81,110.0,-221.0,355.0,11418,175.16,109.46,79.39,-13.69,205.23,97.0,-241.0,323.0,11311,0.990628831669294
115,164.5,111.57,70.17,-17.24,205.9,106.0,-253.0,360.0,12678,176.45,161.25,82.32,-67.12,255.38,101.0,-247.0,347.0,12053,0.950702003470579
116,178.33,166.11,80.88,-68.66,263.56,83.0,-242.0,363.0,12569,164.82,102.35,70.99,-8.52,196.18,112.0,-252.0,330.0,12386,0.9854403691622244
117,170.78,87.52,59.47,23.79,198.83,121.0,-251.0,381.0,14207,152.77,70.38,56.04,26.35,167.11,136.0,-248.0,335.0,13325,0.9379179277820792
118,174.32,165.16,76.39,-67.23,263.09,64.0,-241.0,361.0,13105,151.16,68.83,64.14,18.19,155.85,117.0,-254.0,306.0,12866,0.9817626859977108
119,179.58,114.32,70.5,-5.24,223.4,140.0,-250.0,345.0,12371,167.23,115.1,72.62,-20.49,209.71,99.0,-225.0,352.0,12332,0.9968474658475468
120,184.67,124.65,73.42,-13.4,235.9,109.0,-255.0,362.0,9203,177.61,132.87,80.46,-35.72,230.02,122.0,-249.0,347.0,8886,0.965554710420515
121,185.86,140.59,78.94,-33.67,247.51,120.0,-245.0,367.0,8825,168.64,85.49,71.16,11.99,182.97,128.0,-248.0,329.0,8617,0.9764305949008498
122,179.42,130.54,71.97,-23.09,237.99,132.0,-247.0,373.0,11350,169.31,101.17,70.46,-2.32,200.02,110.0,-245.0,351.0,11115,0.979295154185022
123,189.55,163.43,82.9,-56.78,270.08,97.0,-242.0,371.0,9522,179.08,97.22,63.81,18.05,212.49,143.0,-246.0,354.0,9377,0.984772106700273
124,172.25,94.32,67.33,10.6,199.24,126.0,-186.0,359.0,10436,172.94,127.35,73.59,-28.0,226.7,101.0,-237.0,387.0,10194,0.9768110387121502
125,178.53,85.27,65.3,27.96,198.5,138.0,-247.0,364.0,14271,181.67,169.55,83.53,-71.41,267.69,75.0,-250.0,378.0,13389,0.9381963422324996
126,184.1,167.96,79.5,-63.36,272.56,97.0,-247.0,393.0,9732,153.98,78.98,67.78,7.22,165.18,131.0,-243.0,315.0,9544,0.980682285244554
127,177.49,100.48,66.42,10.59,211.55,135.0,-254.0,364.0,10399,153.59,65.68,62.53,25.38,156.74,130.0,-249.0,323.0,9931,0.9549956726608329
128,164.39,164.52,76.27,-76.4,252.64,41.0,-255.0,356.0,11004,173.35,143.64,87.53,-57.82,229.46,50.0,-250.0,339.0,10514,0.955470737913486
129,188.94,158.82,81.46,-51.34,266.3,105.0,-243.0,376.0,10142,165.95,76.08,64.47,25.4,177.56,133.0,-258.0,312.0,9477,0.9344310786827056
130,180.96,168.38,81.2,-68.62,268.14,119.0,-254.0,370.0,9683,174.47,166.52,80.59,-72.64,260.4,79.0,-253.0,369.0,9539,0.9851285758545906
131,190.69,148.33,86.02,-43.66,253.0,127.0,-254.0,356.0,8621,168.83,82.11,56.46,30.26,194.48,130.0,-208.0,359.0,8794,1.020067277578007
132,197.8,137.87,64.51,-4.58,271.16,90.0,-249.0,381.0,14238,161.26,81.73,48.62,30.91,194.37,160.0,-254.0,338.0,13506,0.9485882848714708
133,180.49,95.52,62.4,22.57,213.61,143.0,-253.0,368.0,12059,166.16,77.11,62.39,26.66,180.88,144.0,-250.0,353.0,12152,1.0077120822622108
134,200.99,151.31,79.24,-29.56,273.06,97.0,-179.0,408.0,10823,185.71,142.74,82.31,-39.34,246.14,100.0,-243.0,370.0,10508,0.970895315531738
135,185.72,123.84,69.86,-7.98,239.7,122.0,-228.0,393.0,11471,178.79,100.29,67.57,10.93,211.51,130.0,-250.0,359.0,10966,0.955975939325255
136,184.61,148.88,83.83,-48.1,249.66,77.0,-241.0,345.0,9783,178.8,176.26,87.41,-84.87,267.65,12.0,-211.0,356.0,9756,0.997240110395584
137,160.95,79.91,62.01,19.03,178.85,118.0,-239.0,356.0,11160,168.32,102.27,67.48,-1.43,203.11,136.0,-208.0,357.0,11039,0.98915770609319
138,178.11,123.07,60.41,-5.37,240.77,105.0,-217.0,376.0,10041,165.32,76.42,56.12,32.78,185.62,129.0,-194.0,354.0,9880,0.9839657404640972
139,185.38,141.12,77.19,-32.93,249.31,108.0,-252.0,360.0,9240,185.25,148.21,85.24,-48.2,248.22,103.0,-246.0,343.0,8908,0.964069264069264
140,177.4,162.37,70.72,-55.69,269.05,99.0,-234.0,376.0,12044,157.16,61.85,56.33,38.98,162.68,157.0,-235.0,355.0,11927,0.9902856193955496
141,201.34,181.8,81.83,-62.29,301.31,65.0,-233.0,392.0,10250,176.68,76.65,52.16,47.87,201.17,144.0,-201.0,320.0,10044,0.9799024390243902
142,179.81,169.88,71.65,-61.72,278.04,62.0,-230.0,374.0,9773,180.6,170.97,82.64,-73.01,268.93,103.0,-244.0,374.0,9181,0.9394249462805688
143,189.58,146.62,67.49,-24.53,268.71,120.0,-203.0,403.0,11101,191.44,170.06,81.14,-59.76,280.36,69.0,-242.0,375.0,10671,0.9612647509233404
144,181.05,143.91,63.96,-26.82,261.0,121.0,-207.0,393.0,13121,176.54,149.9,70.85,-44.21,255.59,95.0,-233.0,385.0,12646,0.9637984909686762
145,92.37,75.18,38.15,-20.96,129.4,112.0,-183.0,395.0,23530,69.45,63.96,33.01,-27.52,100.4,50.0,-240.0,353.0,28474,1.2101147471313216
146,47.24,41.77,20.81,-15.34,68.2,113.0,-234.0,372.0,46244,173.19,119.63,66.11,-12.55,226.71,108.0,-247.0,362.0,10928,0.2363117377389499
147,184.55,184.43,78.74,-78.62,290.24,28.0,-241.0,370.0,9080,163.1,87.28,63.27,12.55,187.11,125.0,-245.0,370.0,9050,0.9966960352422908
148,170.24,129.78,67.02,-26.56,233.0,137.0,-241.0,398.0,12291,187.51,158.08,77.76,-48.33,267.83,42.0,-223.0,381.0,11252,0.9154666015783908
149,142.5,120.51,55.33,-33.34,207.68,119.0,-250.0,390.0,13950,165.49,87.06,61.04,17.39,191.51,144.0,-241.0,369.0,10573,0.7579211469534051
150,134.14,68.6,52.37,13.17,150.37,110.0,-251.0,302.0,10714,146.74,95.99,51.15,-0.4,191.58,98.0,-250.0,345.0,10827,1.010546947918611
151,146.88,84.79,52.66,9.43,179.01,111.0,-238.0,360.0,11106,147.49,55.95,51.84,39.7,151.6,147.0,-222.0,311.0,10820,0.9742481541509094
152,129.1,54.23,47.13,27.74,136.2,110.0,-224.0,351.0,13164,174.71,107.7,65.31,1.7,217.1,128.0,-248.0,358.0,12644,0.9604983287754482
153,166.24,146.15,71.89,-51.8,240.5,84.0,-248.0,358.0,11366,150.75,111.41,67.3,-27.96,194.86,91.0,-250.0,338.0,11119,0.9782685201478092
154,167.15,110.42,58.07,-1.34,219.5,134.0,-246.0,386.0,12269,153.23,105.94,64.32,-17.03,194.85,99.0,-247.0,344.0,11832,0.9643817752058031
155,178.44,109.29,63.78,5.37,223.95,134.0,-219.0,369.0,11331,142.15,49.69,55.37,37.09,136.47,140.0,-251.0,280.0,10893,0.9613449827905746
156,152.3,79.66,54.21,18.43,177.75,124.0,-248.0,340.0,11230,159.38,115.59,69.68,-25.89,205.29,102.0,-237.0,346.0,10796,0.961353517364203
157,149.35,79.77,53.93,15.65,175.19,133.0,-245.0,350.0,11419,139.05,71.9,57.84,9.31,153.11,112.0,-243.0,333.0,11098,0.9718889570014888
158,156.47,86.84,55.6,14.03,187.71,118.0,-249.0,356.0,10945,161.32,112.59,69.37,-20.64,204.54,96.0,-236.0,349.0,10230,0.9346733668341708
159,180.27,151.44,67.77,-38.94,263.94,83.0,-237.0,385.0,12121,169.02,104.16,69.94,-5.08,203.24,118.0,-240.0,347.0,11847,0.9773946044055772
160,179.77,112.8,49.74,17.23,242.83,130.0,-250.0,411.0,10718,124.16,44.55,40.17,39.44,128.54,143.0,-244.0,326.0,10416,0.971823101324874
161,171.4,106.23,50.86,14.31,226.77,119.0,-245.0,404.0,13913,105.86,42.8,52.03,11.03,96.63,99.0,-254.0,313.0,13279,0.9544311075972112
162,173.0,148.65,77.78,-53.43,243.87,59.0,-247.0,354.0,10711,159.89,127.19,67.94,-35.24,219.14,78.0,-240.0,368.0,10482,0.978620110167118
