1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 5rd_most_red.1, 5rd_least_red.1, 5rd_most_yellow.1, 6th_size, height/area,Sweetness
171.9,141.41,75.73,-45.24,237.58,108,-234,374,13652,151.02,73.69,73.96,3.37,150.75,145,-207,316,12695,160.22,62.56,53.26,44.4,169.52,147,-198,320,12306,179.79,127.29,72.49,-19.99,234.59,139,-214,383,12313,172.19,114.46,80.57,-22.84,206.08,137,-235,374,12792,146.7,52.64,55.74,38.32,143.6,151,-203,301,12710,0.930999121,12.85
177.83,135.43,83.33,-40.93,229.93,129,-242,368,11512,151.99,65.86,71.17,14.96,146.68,162,-208,317,11726,115.3,34.83,47.33,33.14,102.8,141,-246,310,11465,170.43,98.28,74.34,-2.19,194.37,146,-191,344,10680,192.26,150.85,91.55,-50.14,251.56,88,-237,371,11464,123.31,42.32,54.82,26.17,110.81,123,-228,292,11684,1.014940931,14.15
204.79,169.15,83.49,-47.85,290.45,98,-187,402,11001,159.95,58.19,62.12,39.64,156.02,154,-249,331,10686,177.87,109.74,64.8,3.33,222.81,198,-219,393,11308,200.68,116.27,65.93,18.48,251.02,157,-181,359,10865,192.57,93.69,63.55,35.33,222.71,181,-172,371,10631,178.57,102.91,65.69,9.97,215.79,181,-230,403,10987,0.998727388,13.1
180.72,109.73,62.73,8.26,227.72,149,-248,405,17018,174.99,79.79,64.04,31.16,190.74,152,-188,368,15722,144.47,42.51,58.76,43.2,128.22,147,-233,315,15863,197.49,106.33,65.6,25.56,238.22,166,-176,362,16081,194.43,123.83,58.94,11.66,259.32,134,-179,374,16822,159.73,48.22,48.38,63.13,159.57,180,-243,357,15886,0.933482195,14.8
187.69,112.13,59.57,15.99,240.25,152,-220,374,7324,151.31,78.44,44.76,28.11,184.99,143,-219,340,7383,120.52,30.87,32.66,56.99,118.73,149,-211,326,7860,131.83,40.09,42.63,49.11,129.29,126,-227,336,7351,180.75,138.39,67.86,-25.5,251.28,121,-245,362,8012,178.32,70.37,44.31,63.64,204.38,148,-110,328,7484,1.021845986,14.3
175.53,147.53,53.87,-25.87,269.19,140,-244,418,11965,182.14,120.11,75.28,-13.25,226.97,161,-224,372,12179,162.98,51.14,50.15,61.69,163.97,160,-246,357,12185,179.5,149.5,60.56,-30.56,268.44,132,-232,405,11833,184.48,168.08,70.32,-53.92,282.24,54,-215,407,12093,163.25,86.14,52.34,24.77,197.05,149,-153,399,12395,1.035938153,14.7
173.33,153.19,70.28,-50.14,256.24,109,-203,378,8623,171.41,146.1,77.91,-52.6,239.6,106,-216,356,8465,154.76,61.32,43.79,49.65,172.29,140,-235,311,8524,188.74,167.72,91.91,-70.89,264.55,121,-198,353,8242,189.02,182.36,92.9,-86.24,278.48,48,-175,368,8249,162.19,103.26,61.02,-2.09,204.43,125,-190,357,8548,0.991302331,12.9
172.26,132.94,57.21,-17.89,247.99,92,-224,395,9491,123,39.49,50.31,33.2,112.18,138,-240,355,8854,140.43,49.78,43.28,47.37,146.93,133,-240,302,8600,142.35,56.58,43.14,42.63,155.79,117,-229,364,8883,149.67,45.11,43.22,61.34,151.56,162,-202,291,8668,141.48,42.4,38.51,60.57,145.37,145,-225,309,8784,0.925508376,11.5
197.82,156.26,61.77,-20.21,292.31,113,-210,394,14729,127.73,41.56,54.19,31.98,115.1,130,-252,361,14218,146.24,51.34,55.08,39.82,142.5,152,-196,326,14501,184.93,118.01,49.24,17.68,253.7,149,-112,413,14105,189.11,77.48,54.92,56.71,211.67,163,-181,389,14266,151.76,58.76,48.06,44.94,162.46,166,-216,362,14540,0.987168172,11.95
176.17,113.37,54.85,7.95,234.69,152,-239,390,12043,165.18,89.76,66.01,9.41,188.93,167,-245,372,11854,141.97,33.05,41.76,67.16,133.26,154,-246,275,11437,181.03,106.03,62.8,12.2,224.26,155,-197,363,11935,181.06,78.27,49.45,53.34,209.88,153,-160,336,11777,152.9,39.88,43.56,69.46,149.22,170,-249,291,11545,0.958648177,14.4
135.5,48.49,43.99,43.02,140,148,-250,339,9444,171.05,104.77,57.83,8.45,217.99,142,-246,361,9145,143.07,31.24,30.29,81.54,144.02,156,-169,272,8980,166.02,61.72,40.12,64.18,187.62,158,-208,333,8903,167.73,68.1,40.76,58.87,195.07,153,-222,341,8742,144.2,32.71,28.51,82.98,148.4,182,-251,279,8730,0.924396442,13.95
183.9,133.91,62.76,-12.77,255.05,145,-238,390,12088,182.94,154.65,68.83,-40.54,268.76,86,-247,387,11303,185.11,106.67,51.36,27.08,240.42,133,-244,365,11386,191.51,153.8,70.24,-32.53,275.07,128,-208,375,11269,196.66,149.19,68.53,-21.06,277.32,98,-230,385,11296,189.86,113.99,54.65,21.22,249.2,137,-215,353,11488,0.950363997,14.3
150.16,65.26,51.24,33.66,164.18,149,-250,304,9467,169.07,149.94,68.87,-49.74,250.14,88,-238,372,9015,139.85,43.94,40.93,54.98,142.86,156,-236,295,8563,160.68,76.81,45,38.87,192.49,137,-249,334,8840,172.22,119.11,61.75,-8.64,229.58,100,-187,372,8882,163.79,69.09,52.06,42.64,180.82,143,-201,313,8417,0.889088412,12.3
189.73,176.8,74.98,-62.05,291.55,58,-181,388,9279,138.74,65,47.86,25.88,155.88,126,-246,307,9345,147.24,83.92,44.14,19.18,187.02,143,-189,379,8895,178.45,98.71,58.86,20.88,218.3,153,-144,374,8786,185.81,147.5,73.95,-35.64,259.36,109,-175,374,8929,149.85,86.87,44.77,18.21,191.95,114,-230,348,8931,0.962495959,11.45
158.04,82.83,41.18,34.03,199.69,144,-249,379,9445,121.08,39.82,37.69,43.57,123.21,152,-245,319,8898,109.76,22.73,29.69,57.34,102.8,141,-247,262,8461,109.38,24.35,34.06,50.97,99.67,111,-250,258,8344,163.29,85.59,37.14,40.56,211.74,143,-242,378,8946,125.98,33.68,31.15,61.15,128.51,140,-249,315,8844,0.936368449,13
184.2,126.79,58.17,-0.76,252.82,141,-230,397,11553,169.61,101.51,66.68,1.42,204.44,160,-238,383,11227,138.11,36.1,47.17,54.84,127.04,144,-158,264,11292,197.5,131.75,68.84,-3.09,260.41,163,-147,372,11593,200.55,165.1,69.48,-34.03,296.17,75,-166,404,11291,163.47,81.73,46.93,34.81,198.27,157,-202,361,11275,0.975936986,12.8
167.32,100.03,53.18,14.11,214.17,143,-247,376,13188,174.57,115.93,63.04,-4.4,227.46,144,-185,373,12608,150.95,36.96,37.91,76.08,150,158,-249,277,12359,175.06,68.54,48.98,57.54,194.62,154,-234,367,12554,191.48,114.02,61.66,15.8,243.84,141,-214,354,12548,173.86,71.05,48.09,54.72,196.82,154,-200,333,12535,0.95048529,15.4
174.21,102.35,47.94,23.92,228.62,131,-248,407,16111,151,59.26,54.12,37.62,156.14,148,-236,368,15332,109.4,39.55,52.87,16.98,96.08,126,-229,312,16128,162.95,58.37,50.68,53.9,170.64,140,-248,358,15293,194.54,100.58,45.71,48.25,249.41,160,-243,381,15957,149.31,59.09,48.41,41.81,159.99,165,-242,369,15993,0.992675812,15.3
