1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 5rd_most_red.1, 5rd_least_red.1, 5rd_most_yellow.1, 6th_size, height/area
184.23,180.42,83.09,-79.28,281.56,56,-243,368,10240,163.6,85.92,58.64,19.04,190.88,158,-251,353,10441,179.93,103.01,59.9,17.02,223.04,147,-206,388,10320,186.36,160.42,91.32,-65.38,255.46,137,-246,343,10308,186.32,165.32,83.4,-62.4,268.24,86,-246,367,10157,182.35,132.73,74.03,-24.41,241.05,127,-218,358,10216,0.99765625
184.44,124.28,65.75,-5.59,242.97,138,-222,393,12940,174.81,127.05,67.46,-19.7,234.4,144,-243,385,12645,157.58,42.12,48.32,67.14,151.38,162,-240,309,12920,186.15,102.53,60.55,23.07,228.13,164,-156,355,12843,189.61,132.65,64.21,-7.25,258.05,115,-220,394,12642,185.05,96.02,55.94,33.09,225.13,120,-150,345,12817,0.99049459
180.74,169.62,71.78,-60.66,278.58,65,-203,396,11712,180.08,153.15,92.93,-66,240.3,76,-235,355,11148,193.83,129.41,81.4,-16.98,241.84,144,-204,374,10891,180.64,170.9,89.63,-79.89,261.91,105,-229,370,11004,194.93,161.28,86.74,-53.09,269.47,42,-190,388,11321,185.54,150.64,79.96,-45.06,256.22,93,-240,380,11391,0.972592213
177.24,123.69,68.28,-14.73,232.65,156,-244,372,10098,147.19,84.4,57.99,4.8,173.6,149,-239,376,10553,133.69,40.51,43.5,49.68,130.7,150,-226,282,10379,166.21,80.22,50.53,35.46,195.9,151,-207,378,9983,177.71,140.42,70.09,-32.8,248.04,129,-235,366,10039,175.43,121.95,60.7,-7.22,236.68,122,-233,392,9887,0.979104773
185.22,92.15,63.35,29.72,214.02,162,-185,376,12534,181.62,161.62,77.46,-57.46,265.78,94,-210,380,11805,174.59,59.89,58.6,56.1,175.88,154,-123,375,11874,183.29,99.04,58,26.25,224.33,175,-190,381,12325,199.63,136.27,66.69,-3.33,269.21,134,-187,370,12185,191.74,142.07,75.51,-25.84,258.3,97,-203,366,12439,0.992420616
172.43,136.94,62.81,-27.32,246.56,119,-230,395,7671,98.14,33.72,38.57,25.85,93.29,101,-195,298,7854,123.25,33.24,41.14,48.87,115.35,135,-241,299,7387,119.88,40.01,36.51,43.36,123.38,150,-241,299,7148,139.46,69.52,44.29,25.65,164.69,120,-212,373,7295,134.12,50.9,45.03,38.19,139.99,131,-242,346,7292,0.950593143
173,128.79,72.49,-28.28,229.3,144,-241,370,12871,166.55,131.07,69.27,-33.79,228.35,124,-242,375,11992,170.41,71.14,53.37,45.9,188.18,150,-175,305,12136,172.83,88.24,58.21,26.38,202.86,142,-166,367,12048,177.22,98.68,63.17,15.37,212.73,137,-220,367,12038,180.96,154.94,78.96,-52.94,256.94,100,-194,376,12463,0.968300831
182.69,164.69,74.45,-56.45,272.93,123,-246,388,15506,177.33,109.12,62.24,5.97,224.21,139,-246,378,14906,152.25,44.07,54.67,53.51,141.65,167,-246,280,15387,166.8,84.7,54.52,27.58,196.98,172,-242,379,15682,185.12,115.11,56.13,13.88,244.1,152,-234,433,15402,193.7,153.51,76.1,-35.91,271.11,118,-207,396,15633,1.008190378
175.81,130.16,66.02,-20.37,239.95,143,-243,383,10375,159.07,77.44,60.93,20.7,175.58,151,-247,334,10465,143.45,32.78,42.67,68,133.56,175,-240,253,9989,164.94,87.38,56.34,21.22,195.98,155,-227,358,10194,189.94,160.35,82.07,-52.48,268.22,94,-225,362,9845,182.21,132.97,68.35,-19.11,246.83,117,-201,377,10037,0.967421687
176.82,142.27,78.18,-43.63,240.91,130,-217,369,11105,163.38,100.74,58.52,4.12,205.6,134,-247,380,10970,160.89,63.21,42.11,55.57,181.99,158,-196,350,10375,178.73,136.75,66.64,-24.66,248.84,137,-210,390,10609,180.84,172.7,75.18,-67.04,278.36,62,-206,402,10487,176.07,145.77,73.8,-43.5,248.04,97,-207,380,10537,0.948851869
184.16,154.87,81.29,-52,257.74,103,-213,382,12493,167.58,77.91,70.63,19.04,174.86,160,-248,305,12166,150.15,48.17,45.82,56.16,152.5,174,-194,324,11749,172.33,97,67.19,8.14,202.14,170,-248,348,11764,185.18,155.89,91.75,-62.46,249.32,112,-226,359,11791,189.39,145.09,86.71,-42.41,247.77,94,-242,372,11851,0.948611222
175.35,179.53,76.66,-80.84,278.22,31,-253,373,8821,174.36,176.51,82.58,-84.73,268.29,44,-244,366,8548,184.78,146.85,77.2,-39.27,254.43,73,-229,378,8356,187.74,174.17,100.71,-87.14,261.2,71,-243,365,8812,185.83,185.28,98.03,-97.48,273.08,64,-225,361,8686,166.82,174.58,71.82,-79.58,269.58,19,-204,373,8779,0.995238635
178.16,133.95,74.26,-30.05,237.85,135,-243,375,10777,169.73,163.35,80.79,-74.41,252.29,37,-210,368,10869,178.9,128.28,74.6,-23.98,232.58,152,-172,361,10746,183.97,138.72,78.97,-33.72,243.72,149,-198,359,10566,192.47,162.79,86.63,-56.95,268.63,78,-168,380,10455,189.66,164.63,87.18,-62.15,267.11,82,-191,368,10885,1.010021342
157.98,103.2,58.59,-3.81,202.59,131,-246,357,10883,160.08,114.35,70.15,-24.42,204.28,125,-237,362,11296,150.85,65.65,49.44,35.76,167.06,148,-211,362,10725,171.58,91.98,60.67,18.93,202.89,139,-191,335,10140,185.58,156.87,84.57,-55.86,257.88,95,-190,387,10440,174.53,105.81,66.44,2.28,213.9,123,-201,357,10439,0.959202426
142.78,64.35,49.73,28.7,157.4,147,-250,367,8795,157.92,99.7,69.43,-11.21,188.19,123,-250,352,8975,119.91,30.27,42.06,47.58,108.12,119,-214,248,8594,163.18,60.33,51.35,51.5,172.16,145,-171,296,8453,174.87,93.3,60.08,21.49,208.09,130,-201,344,8283,141.66,53.11,48.9,39.65,145.87,118,-234,313,8316,0.945537237
164.41,115.07,56.91,-7.57,222.57,160,-229,387,13414,161.78,125.35,60.46,-24.03,226.67,91,-235,374,12779,153.73,57.25,38.93,57.55,172.05,146,-246,330,12887,172.07,98.73,52.68,20.66,218.12,150,-193,387,12871,169.19,95.6,48.31,25.28,216.48,128,-206,361,12812,148.14,66.29,39.04,42.81,175.39,140,-243,333,12656,0.943491874
174.84,104.7,65.33,4.81,214.21,134,-221,392,12371,150.4,71.43,62.57,16.4,159.26,135,-202,346,12217,114.01,31.87,47.96,34.18,97.92,98,-247,263,11526,167.29,57.82,54,55.47,171.11,145,-250,322,11584,176.1,96.65,56.88,22.57,215.87,140,-169,376,11985,125.44,35.35,47.42,42.67,113.37,146,-233,286,12245,0.98981489
149.23,70.87,54.69,23.67,165.41,159,-249,348,14261,165.74,128.57,70.97,-33.8,223.34,111,-223,374,13516,155.23,51.97,47.95,55.31,159.25,174,-238,306,13963,160.9,67.39,51.29,42.22,177,151,-229,393,13867,154.94,41.04,45.69,68.21,150.29,171,-191,301,13939,162.49,81.16,54.04,27.29,189.61,134,-180,340,13372,0.937662156
164.17,128.93,66.55,-31.31,226.55,125,-245,374,10628,158.69,85.92,57.09,15.68,187.52,149,-251,356,10147,154.82,59,40.28,55.54,173.54,145,-218,342,9632,180.58,103.49,61.58,15.51,222.49,136,-150,361,9658,186.31,151.95,80.9,-46.54,257.36,95,-225,359,9559,178.74,109.93,63.23,5.58,225.44,125,-173,352,9846,0.926420775
152.7,95.08,56.62,1,191.16,130,-245,365,11883,155.57,119.27,68.31,-32.01,206.53,128,-247,365,11184,131.63,48.82,44.69,38.12,135.76,129,-233,303,11086,137.75,78.38,51.46,7.91,164.67,113,-239,348,11462,170.18,157.36,71.64,-58.82,255.9,63,-207,386,11104,167.58,133.55,63.86,-29.83,237.27,111,-190,386,11928,1.003786922
175.93,84.44,53.26,38.23,207.11,158,-245,368,15876,151.73,51.04,58.43,42.26,144.34,166,-229,358,15077,115.65,33.84,51.37,30.44,98.12,140,-204,254,15768,174.34,63.8,48.5,62.04,189.64,182,-248,341,16160,182.08,75.92,47.81,58.35,210.19,159,-166,358,15745,136.4,39.66,52.99,43.75,123.07,170,-242,278,15939,1.003968254
173.3,135.44,72.82,-34.96,235.92,135,-240,381,12048,166.15,150.68,75.52,-60.05,241.31,71,-226,372,11176,181.18,127.74,70.73,-17.29,238.19,117,-243,369,11457,182.93,170.19,78.74,-66,274.38,80,-246,366,11445,178.36,155.68,75.19,-52.51,258.85,101,-235,372,11825,182.83,123.13,67.69,-7.99,238.27,102,-229,377,11770,0.976925631
174.09,144.07,67.02,-37,251.14,104,-219,391,10808,150.24,64.44,50.17,35.63,164.51,154,-247,322,10737,163.11,75.5,46.37,41.24,192.24,166,-242,361,9720,173.05,108.46,59.97,4.62,221.54,133,-209,366,10574,169.8,108.42,62.19,-0.81,216.03,140,-196,353,10084,160.08,76.98,48.9,34.2,188.16,153,-224,357,10198,0.943560326
169.87,139.73,74.75,-44.61,234.85,108,-235,376,13919,148.86,72.64,72.74,3.48,148.76,146,-208,316,12986,157.97,61.8,52.51,43.66,167.26,148,-199,322,12598,175.27,124.12,70.59,-19.44,228.8,140,-214,385,12748,169.43,112.61,79.14,-22.32,202.9,138,-236,376,13115,142.09,51.1,53.93,37.06,139.26,152,-204,303,13242,0.951361448
175.34,133.53,82.05,-40.24,226.82,130,-243,370,11772,150.18,65.23,70.32,14.63,145.09,163,-208,317,11963,111.91,34.25,46.09,31.57,100.07,142,-247,312,11956,164.06,94.73,71.54,-2.21,187.25,147,-192,344,11214,185.39,145.49,88.19,-48.29,242.69,89,-238,373,12019,121.27,41.99,54.01,25.27,109.25,124,-229,293,12022,1.021236833
200.65,165.61,81.6,-46.56,284.66,99,-188,404,11339,152.08,55.71,59.09,37.28,148.7,155,-250,333,11386,175.62,108.42,63.93,3.27,220.11,199,-220,393,11540,195.51,113.35,64.18,17.98,244.68,158,-182,359,11247,188.36,91.93,62.22,34.21,218.07,182,-173,373,10983,175.54,101.33,64.58,9.63,212.29,182,-231,405,11294,0.996031396
178.94,108.64,62,8.3,225.58,150,-249,407,17295,172.94,78.92,63.22,30.8,188.64,153,-189,370,16020,142.46,42.28,57.95,42.23,126.79,148,-234,316,16264,194.64,104.84,64.59,25.21,234.89,167,-177,362,16468,192.96,122.87,58.43,11.66,257.4,135,-179,374,17047,157.4,47.77,47.74,61.89,157.43,181,-244,357,16266,0.940503036
182.98,109.32,58.01,15.65,234.29,153,-221,376,7579,147.34,76.59,43.74,27.01,180.19,144,-220,342,7679,118.08,30.74,32.29,55.05,116.53,150,-211,328,8116,128.68,39.64,41.77,47.27,126.55,127,-227,338,7629,173.34,132.52,64.97,-24.15,240.89,122,-246,364,8443,173.49,68.78,43.31,61.4,198.96,149,-111,330,7785,1.027180367
171.29,143.92,52.57,-25.2,262.64,141,-245,420,12385,176.11,116.2,72.67,-12.76,219.64,162,-225,374,12711,158.13,49.87,48.68,59.58,159.32,161,-247,359,12684,177.15,147.51,59.65,-30.01,265.01,133,-233,407,12085,181.88,165.62,69.15,-52.89,278.35,54,-216,409,12373,160.61,84.84,51.43,24.34,194.02,150,-154,401,12710,1.026241421
170.36,150.47,68.92,-49.03,251.91,109,-204,380,8848,162.68,138.49,73.85,-49.66,227.32,106,-217,358,9034,151.2,60.13,42.9,48.17,168.43,141,-235,311,8820,186.06,165.25,90.48,-69.67,260.83,122,-202,355,8439,178.95,172.4,87.73,-81.18,263.62,48,-175,370,8831,153.77,98.18,58.07,-2.48,193.88,126,-191,359,9136,1.032549729
171.03,131.96,56.73,-17.66,246.26,93,-224,397,9616,120.93,39.38,49.57,31.98,110.74,139,-240,355,9132,137.27,49.07,42.51,45.69,143.83,134,-240,303,8909,139.9,55.9,42.51,41.49,153.29,118,-229,366,9133,146.27,44.43,42.36,59.48,148.34,163,-202,293,8967,139.14,42.02,38.03,59.09,143.13,146,-225,310,9023,0.938331947
195.74,154.57,60.99,-19.82,289.32,114,-211,396,14990,125.78,41.3,53.4,31.08,113.68,131,-253,361,14600,143.66,50.8,54.16,38.7,140.3,152,-197,328,14928,182.2,116.31,48.55,17.34,249.96,150,-112,415,14435,186.31,76.48,54.09,55.74,208.7,164,-181,391,14589,149.67,58.15,47.41,44.11,160.41,167,-217,364,14874,0.992261508
173.96,111.91,54.07,7.98,231.8,153,-239,390,12283,162.31,88.28,64.82,9.21,185.77,168,-246,372,12178,140.41,33.04,41.4,65.97,132.05,154,-246,276,11673,178.22,104.44,61.76,12.02,220.9,156,-198,365,12224,177.12,76.69,48.47,51.96,205.34,154,-161,338,12157,150.21,39.4,42.84,67.97,146.77,171,-250,292,11864,0.965887812
132.93,47.82,43.21,41.9,137.54,149,-251,341,9726,167.64,102.64,56.57,8.43,213.71,143,-247,363,9416,140.15,31.04,29.89,79.22,141.3,157,-169,274,9273,163.28,60.82,39.53,62.93,184.57,159,-209,334,9136,164.08,66.71,39.92,57.45,190.87,154,-223,343,9014,141.73,32.68,28.35,80.7,146.06,182,-251,279,9003,0.925663171
181.76,132.31,61.93,-12.48,252.14,146,-239,392,12311,180.14,152.15,67.64,-39.65,264.65,87,-248,389,11583,181.74,104.81,50.36,26.57,236.19,134,-245,367,11698,188.88,151.62,69.12,-31.86,271.38,129,-209,375,11515,194.32,147.41,67.55,-20.64,274.18,99,-231,387,11536,186.46,111.91,53.56,20.99,244.81,138,-216,355,11800,0.958492405
146.92,63.97,50.14,32.81,160.75,150,-251,306,9772,166.5,147.46,67.71,-48.67,246.25,88,-239,374,9245,137.46,43.5,40.34,53.62,140.62,156,-236,295,8806,157.58,75.46,44.21,37.91,188.83,138,-249,336,9104,168.59,116.67,60.37,-8.45,224.89,100,-187,374,9169,160.69,67.94,51.1,41.65,177.53,144,-202,314,8668,0.887024151
185.1,172.19,72.92,-60.01,284.37,58,-182,390,9629,137.62,64.64,47.6,25.38,154.66,127,-247,309,9520,143.8,82.16,43.2,18.44,182.76,144,-190,381,9211,175.36,97.26,57.85,20.25,214.77,154,-145,376,9036,182.35,144.71,72.45,-34.81,254.61,110,-175,376,9176,146.49,85.05,43.89,17.55,187.65,115,-230,350,9239,0.959497352
156.22,82.05,40.79,33.38,197.48,145,-250,381,9633,119.06,39.68,37.33,42.05,121.41,153,-245,319,9171,107.58,23.08,29.51,54.99,101.15,141,-247,262,8763,106.89,24.53,33.59,48.77,97.83,111,-250,258,8668,160.15,84.18,36.61,39.36,207.72,144,-243,380,9222,123.44,33.72,30.91,58.81,126.25,141,-249,318,9173,0.952247483
182.35,125.58,57.48,-0.71,250.45,142,-231,399,11761,165.93,99.48,65.16,1.29,200.25,161,-239,385,11603,135.72,35.99,46.46,53.27,125.25,145,-158,265,11640,195.28,130.43,67.92,-3.07,257.79,164,-147,374,11825,196.77,161.92,67.99,-33.14,290.7,76,-166,406,11625,160.26,80.2,46,34.06,194.46,158,-203,363,11598,0.986140634
165.46,98.87,52.5,14.09,211.83,144,-248,378,13431,171.87,114.14,62.02,-4.29,223.99,145,-186,373,12916,148.7,36.74,37.48,74.48,147.96,159,-250,279,12674,173.04,67.85,48.43,56.76,192.46,155,-235,369,12812,188.86,112.45,60.69,15.72,240.62,142,-215,354,12822,171.98,70.42,47.65,53.91,194.75,155,-201,335,12789,0.952200134
172.13,101.22,47.39,23.52,225.96,132,-249,407,16419,148.08,58.28,53.11,36.69,153.25,148,-237,370,15767,107.96,39.36,52.2,16.4,95.12,127,-230,313,16517,160.98,57.88,50.13,52.97,168.73,141,-249,360,15622,192.81,99.74,45.3,47.77,247.25,160,-244,381,16211,147.26,58.57,47.89,40.8,157.94,166,-243,371,16378,0.997502893
180.82,173.63,72.41,-65.22,282.04,47,-224,392,12910,167.72,102.52,66.74,-1.54,203.5,138,-236,350,12624,176.66,105.28,57.65,13.73,224.29,142,-208,405,12695,187.15,146.78,73.83,-33.46,260.1,125,-207,370,12694,181.05,167.18,69.91,-56.04,278.32,58,-186,378,12713,180.45,118.94,63.76,-2.25,235.63,135,-195,410,12804,0.991789311
166.61,88.22,46.33,32.06,208.5,140,-233,383,13053,143.61,40.51,45.2,57.9,138.92,182,-250,300,12164,134.32,42.29,42.15,49.88,134.46,134,-209,342,12201,172.61,67.94,36.55,68.12,204,166,-245,370,12430,169.97,65.36,38.65,65.96,196.68,167,-222,363,12030,124.22,33.32,40.39,50.51,117.15,136,-249,336,12816,0.981843254
163.1,119.69,61.08,-17.67,221.71,103,-248,407,13877,123.79,56.29,48.04,19.46,132.04,138,-248,313,13544,142.73,59.87,52.31,30.55,150.29,122,-202,328,13172,159.52,71.57,50.95,37,180.14,138,-252,326,12967,160.04,102.99,49.47,7.58,213.56,128,-198,409,13213,134.6,58.38,46.61,29.61,146.37,113,-194,313,12655,0.911940621
163.86,140.74,66.86,-43.74,237.74,94,-226,386,12985,168.47,153.35,66.2,-51.08,255.62,82,-244,374,12440,157.6,99.07,52.39,6.14,204.28,130,-240,342,11863,168.65,131.65,66,-29,234.3,97,-236,395,12599,176.22,148.62,69.58,-41.98,255.26,84,-248,368,12214,172.04,102.52,58.89,10.63,215.67,130,-221,381,12810,0.986522911
176.87,156.97,67.67,-47.77,266.17,122,-243,379,11090,181.61,158.98,83.27,-60.64,257.32,68,-247,354,10984,185.33,105.06,60.5,19.77,229.89,112,-181,369,10613,190.1,167.27,81.47,-58.64,275.9,79,-220,380,10375,182.81,177.42,74.47,-69.08,285.76,31,-203,380,10652,190.89,161.33,79.3,-49.74,272.92,44,-230,373,10766,0.970784491
180.24,166.12,80.14,-66.02,266.22,80,-237,364,9846,162.46,117.75,67.95,-23.24,212.26,137,-242,363,9606,151.36,62.83,47.98,40.55,166.21,133,-236,315,9372,182.88,140.27,73.93,-31.32,249.22,111,-229,369,9181,184.14,179.66,77.7,-73.22,286.1,46,-182,372,9241,162.91,103.73,57.91,1.27,208.73,125,-246,384,9183,0.93266301
177.32,138.94,62.56,-24.18,253.7,139,-194,390,17288,188.37,152.75,76.23,-40.61,264.89,123,-201,380,16480,187.79,103.14,59.38,25.27,231.55,150,-212,381,17424,191.29,154.06,70.09,-32.86,275.26,115,-222,393,17113,190.74,164.35,75.25,-48.86,279.84,60,-215,385,16268,182.35,125.32,58.93,-1.9,248.74,125,-240,412,16585,0.959335956
171.87,161.63,63.61,-53.37,269.89,80,-246,374,11475,171.01,142.7,70.65,-42.34,243.06,116,-236,365,11105,160.56,68.02,40.89,51.65,187.69,139,-244,327,10894,180,134.76,65.3,-20.06,249.46,141,-233,387,11215,182.83,183.42,78.29,-78.88,287.96,37,-194,368,10656,168.84,103.84,51.02,13.98,221.66,125,-246,393,10985,0.957298475
176.92,159.51,54.58,-37.17,281.85,103,-232,408,9868,168.44,106.89,59.47,2.08,215.86,147,-246,356,10070,162.38,70.58,47.29,44.51,185.67,136,-153,396,9548,171.81,129.17,52.69,-10.05,248.29,144,-187,413,9550,186.87,165.8,62.71,-41.64,289.96,66,-200,401,9184,177.33,133.27,54.37,-10.31,256.23,113,-243,428,9925,1.005776246
184.75,163.04,75.08,-53.37,272.71,108,-221,381,9334,153.57,86.65,57.15,9.77,183.07,140,-243,343,9592,154.35,64.48,58.26,31.61,160.57,149,-220,382,9398,147.74,70.22,46.21,31.31,171.75,133,-212,407,9067,181.65,115.84,57.34,8.47,240.15,124,-177,386,9587,186.25,117.78,68.26,0.21,235.77,145,-215,380,9677,1.036747375
178.04,162.37,75.45,-59.78,264.96,92,-235,385,12360,163.48,137.28,73.29,-47.09,227.47,72,-241,358,11889,173.79,108.04,61.89,3.86,219.94,110,-246,347,12019,179.02,143.41,73.17,-37.56,249.26,82,-200,371,11961,174,147.29,70.22,-43.51,251.07,62,-242,387,12304,169.82,136.29,67.17,-33.64,238.94,90,-223,381,12353,0.999433657
168.71,128.56,61.82,-21.67,235.45,105,-246,368,11900,160.62,141.34,57.68,-38.4,244.28,82,-239,378,11702,163.72,90.08,50.37,23.27,203.43,126,-247,328,10940,164.09,132.22,51.97,-20.1,244.34,96,-243,394,10980,175.13,155.78,56.95,-37.6,273.96,93,-240,396,11801,172.63,141.58,61.68,-30.63,252.53,82,-215,402,11817,0.99302521
177.48,160.82,66.64,-49.98,271.66,88,-212,393,9333,159.11,107.72,62.5,-11.11,204.33,102,-246,351,9414,156.98,76.96,48.98,31.04,184.96,124,-245,308,9023,173.46,134.57,59.91,-21.02,248.12,99,-188,402,8803,187.69,164.44,69.46,-46.21,282.67,57,-243,392,9273,182.91,143.13,74.79,-35.01,251.25,86,-208,373,8818,0.944819458
181.87,180.34,74.25,-72.72,287.96,62,-217,371,11353,159.62,103.04,61.7,-5.12,200.96,137,-233,370,11158,156.52,71.28,47.6,37.64,180.2,144,-185,403,10976,185.53,163.63,76.57,-54.67,272.59,113,-178,371,11338,178.83,158.19,74.55,-53.91,262.47,76,-204,378,11586,153.82,88.9,51.27,13.65,191.45,127,-246,390,10773,0.948912182
180.58,170.23,77.43,-67.08,273.38,103,-221,378,9731,155.03,108.38,56.02,-9.37,207.39,139,-248,356,9379,149.43,51.65,43.73,54.05,157.35,150,-249,376,9339,186.02,161.91,77.67,-53.56,270.26,91,-226,375,9234,186.97,164.58,77.51,-55.12,274.04,79,-214,380,9287,159.39,74.72,49.27,35.4,184.84,154,-207,373,9066,0.9316617
174.64,136.31,55.59,-17.26,255.36,153,-228,404,16967,172.43,104.15,58.3,9.98,218.28,165,-242,387,15763,141.68,49.14,56.4,36.14,134.42,148,-207,417,16059,172.53,69.31,54.63,48.59,187.21,145,-251,336,16077,197.77,126.63,53.27,17.87,271.13,131,-213,371,16525,176.74,76.4,48.82,51.52,204.32,186,-242,402,16130,0.950668946
188.98,159.28,59.99,-30.29,288.27,115,-246,404,11448,172.72,104.6,50.56,17.56,226.76,155,-249,386,11173,188.23,119.52,50.53,18.18,257.22,138,-199,376,11040,181.7,118,43.63,20.07,256.07,127,-245,403,11069,191.68,141.42,58.5,-8.24,274.6,136,-229,395,10779,192.84,125.53,55.49,11.82,262.88,119,-240,366,11179,0.976502446
176.59,166.19,81.83,-71.43,260.95,89,-224,366,11972,174.42,162.49,83.53,-71.6,253.38,49,-246,349,11603,179.32,146.78,78.11,-45.57,247.99,120,-202,379,11461,183.54,166.61,84.59,-67.66,265.56,65,-210,365,11206,179.86,169.81,82.09,-72.04,267.58,47,-196,366,11469,183.04,164.4,88.12,-69.48,259.32,53,-203,362,11246,0.939358503
