,1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 6th_size, height/area
77,178.92,174.3,74.27,-69.65,278.95,10101,177.15,151.26,76.69,-50.8,251.72,10300,191.35,134.53,71.51,-14.69,254.37,10152,183.22,181.01,79.46,-77.25,284.77,9912,179.29,142.72,64.8,-28.23,257.21,9683,174.4,140.86,67.96,-34.42,247.3,9632,0.9535689535689535
78,174.27,165.86,71.75,-63.34,268.38,11547,169.3,158.94,73.64,-63.28,254.6,11074,181.39,117.06,57.23,7.1,241.22,10725,173.94,162.55,66.76,-55.37,269.73,10515,179.41,180.01,75.86,-76.46,283.56,10634,176.39,164.07,70.94,-58.62,269.52,10561,0.91460985537369
79,179.39,183.44,76.66,-80.71,286.17,8266,168.7,124.75,62.45,-18.5,231.0,7986,180.77,139.17,67.89,-26.29,252.05,8245,174.49,174.65,71.21,-71.37,277.93,7809,172.36,169.59,66.97,-64.2,274.98,7782,171.67,149.92,69.35,-47.6,252.24,7691,0.9304379385434308
80,151.22,100.29,51.98,-1.05,199.53,7587,159.21,144.67,64.55,-50.01,239.33,7330,139.93,64.43,43.74,31.76,160.62,7442,156.71,133.74,54.61,-31.64,235.84,7078,170.24,169.66,61.48,-60.9,278.42,7155,157.66,112.72,51.3,-6.36,219.08,6914,0.911295637274285
81,170.59,124.9,61.0,-15.31,234.49,8804,167.69,122.19,65.07,-19.57,224.81,8683,141.88,45.49,38.64,57.75,148.73,8183,170.86,110.22,54.9,5.74,226.18,8220,188.07,171.37,77.45,-60.75,281.99,8123,173.23,114.51,57.39,1.33,230.35,8446,0.9593366651522036
82,176.88,171.4,72.37,-66.89,275.91,9609,159.95,114.28,63.31,-17.64,210.92,9512,146.36,63.37,40.15,42.84,169.58,9329,174.73,171.12,67.91,-64.3,277.94,9477,172.55,147.73,64.69,-39.87,255.59,9329,149.13,67.38,42.1,39.65,174.41,9428,0.9811634925590592
83,165.7,160.52,66.6,-61.42,259.62,6619,164.41,158.51,76.69,-70.79,246.23,6490,150.49,123.5,52.68,-25.69,221.31,6209,180.24,166.46,79.17,-65.39,267.53,6285,170.11,173.31,74.2,-77.4,269.22,6258,155.92,152.74,58.88,-55.7,249.78,6288,0.94999244598882
84,177.7,165.25,69.04,-56.59,273.91,10337,164.19,114.79,58.61,-9.21,220.37,10074,166.79,109.92,53.43,3.44,223.28,9705,172.78,114.95,52.23,5.6,235.5,10007,182.31,168.49,70.24,-56.42,280.56,9757,177.11,149.19,68.48,-40.56,257.82,10267,0.9932282093450712
85,171.14,163.37,65.97,-58.2,268.54,11208,160.77,150.11,62.98,-52.32,247.9,10681,165.08,113.44,50.81,0.83,227.71,10582,173.07,151.71,63.73,-42.37,261.05,10502,176.34,182.82,68.57,-75.05,290.59,10331,174.18,146.09,66.97,-38.88,253.3,10842,0.9673447537473232
86,162.33,162.26,65.8,-65.73,258.79,9011,154.89,139.61,59.56,-44.28,234.94,8795,165.42,111.49,55.81,-1.88,221.1,8695,164.7,152.39,62.6,-50.29,254.49,8301,166.12,169.16,65.29,-68.33,269.99,8276,165.55,141.86,63.97,-40.28,243.44,8623,0.9569415159249806
87,174.9,153.87,67.49,-46.46,261.28,9117,169.6,145.64,67.9,-43.94,247.34,9266,167.68,97.14,52.4,18.14,212.42,9075,175.83,167.06,67.6,-58.83,275.29,8522,180.06,161.88,69.58,-51.4,272.36,9390,179.9,129.41,66.7,-16.21,242.61,8955,0.9822309970384996
