red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow
175.27,98.55,68.42,50.37,161.11,175.49,8.3,205.4,169.0,-247.0,346.0
189.31,159.45,93.99,28.55,130.74,189.47,-64.13,254.77,112.0,-225.0,357.0
193.46,148.31,88.82,26.11,137.84,193.46,-43.67,252.95,93.0,-241.0,370.0
179.48,184.08,78.62,30.69,151.11,186.19,-83.22,284.94,30.0,-252.0,373.0
177.93,180.42,84.39,29.39,139.82,184.61,-86.88,273.96,44.0,-244.0,364.0
187.89,149.27,78.6,20.03,149.75,189.18,-39.98,258.56,72.0,-229.0,376.0
192.17,178.36,103.25,25.53,125.29,194.9,-89.44,267.28,71.0,-242.0,363.0
189.68,189.31,100.4,29.61,127.89,196.9,-100.03,278.59,64.0,-224.0,359.0
177.12,185.78,76.41,31.52,152.36,186.76,-85.07,286.49,19.0,-204.0,373.0
180.93,136.13,75.56,26.74,152.96,181.26,-30.76,241.5,134.0,-243.0,375.0
177.12,170.85,84.48,26.24,136.35,181.06,-78.21,263.49,37.0,-209.0,366.0
183.44,131.53,76.55,24.61,152.16,183.7,-24.64,238.42,151.0,-172.0,361.0
190.36,143.53,81.85,19.19,146.79,190.36,-35.02,252.04,148.0,-198.0,357.0
195.86,165.69,88.36,21.36,141.2,195.86,-58.19,273.19,78.0,-167.0,380.0
193.28,167.86,89.07,22.97,138.72,193.31,-63.65,272.07,81.0,-190.0,366.0
162.21,105.98,60.27,19.8,168.28,162.22,-4.04,207.92,130.0,-246.0,355.0
170.79,121.95,74.79,29.06,150.04,171.06,-25.95,217.95,124.0,-236.0,362.0
155.85,67.61,51.04,37.15,178.71,155.85,37.2,172.42,147.0,-210.0,360.0
174.61,93.56,61.83,11.66,165.71,174.61,19.22,206.34,138.0,-191.0,333.0
189.07,159.92,86.35,20.57,142.91,189.08,-57.2,262.64,95.0,-189.0,387.0
179.35,108.65,68.44,38.9,163.65,179.35,2.26,219.56,122.0,-200.0,355.0
147.66,66.35,51.37,65.8,178.64,147.66,29.94,162.64,146.0,-249.0,367.0
172.08,108.35,75.42,39.65,148.12,172.38,-11.69,205.01,122.0,-249.0,350.0
125.04,30.98,43.65,158.93,192.04,125.04,50.41,112.37,118.0,-214.0,248.0
169.24,62.35,53.14,41.19,176.17,169.24,53.75,178.45,144.0,-171.0,296.0
178.43,95.19,61.39,15.73,167.46,178.43,21.85,212.23,129.0,-200.0,342.0
145.75,54.33,50.16,82.65,175.62,145.75,41.26,149.92,117.0,-234.0,312.0
165.21,115.6,57.2,21.42,176.2,165.63,-7.59,223.61,159.0,-228.0,385.0
165.31,128.13,61.89,18.75,170.06,166.54,-24.71,231.55,91.0,-234.0,372.0
155.77,58.0,39.4,41.17,195.47,155.77,58.37,174.37,145.0,-245.0,328.0
176.21,101.12,54.01,15.92,182.74,176.77,21.08,223.32,149.0,-192.0,387.0
171.53,96.83,49.02,20.99,189.78,171.53,25.68,219.34,127.0,-205.0,359.0
150.42,67.2,39.58,10.83,192.79,150.42,43.64,178.04,139.0,-242.0,331.0
176.76,105.8,66.12,35.73,164.37,176.76,4.84,216.44,133.0,-220.0,390.0
156.13,73.87,64.86,76.6,161.47,156.16,17.4,165.14,134.0,-201.0,344.0
116.82,32.13,49.01,156.16,186.94,116.82,35.68,99.94,97.0,-246.0,262.0
170.39,58.67,54.98,89.82,181.41,170.39,56.74,174.08,144.0,-249.0,320.0
178.89,98.11,57.83,29.35,174.82,178.89,22.95,219.17,139.0,-168.0,374.0
127.13,35.54,48.01,133.41,185.6,127.13,43.58,114.66,145.0,-232.0,285.0
151.71,71.91,55.56,71.58,173.32,151.71,24.24,168.06,158.0,-248.0,346.0
